id,latitude,longitude,neighbourhood_cleansed,room_type,property_type,accommodates,bedrooms,bathrooms_num,minimum_nights,price_eur,review_scores_rating,number_of_reviews,unavailable_rate_90d
36942479,52.51265,13.4611,Frankfurter Allee Süd FK,Private room,Private room in rental unit,2,1.0,1.0,2,51.0,4.86,44,0.0
36961808,52.493770874684806,13.427376549759687,Reuterstraße,Private room,Private room in rental unit,2,1.0,1.0,2,77.0,5.0,13,1.0
36967121,52.45877,13.37994,Tempelhof,Entire home/apt,Entire rental unit,2,1.0,1.0,1,117.0,4.83,141,1.0
37003601,52.5125846862793,13.448652267456056,Karl-Marx-Allee-Süd,Private room,Private room in rental unit,2,1.0,1.0,92,63.0,4.64,11,0.0
37071847,52.48218,13.36229,Schöneberg-Süd,Entire home/apt,Entire rental unit,4,1.0,1.5,3,118.0,4.58,201,0.0
37077823,52.53422,13.37952,Brunnenstr. Süd,Entire home/apt,Entire rental unit,4,2.0,1.5,3,229.0,4.75,175,0.0
37079665,52.54157,13.41169,Prenzlauer Berg Nordwest,Entire home/apt,Entire guesthouse,2,1.0,1.0,1,76.0,4.38,180,0.0
37081059,52.49828,13.4242,südliche Luisenstadt,Entire home/apt,Entire rental unit,2,1.0,1.0,1,86.0,4.83,351,1.0
37087005,52.46138,13.48313,Baumschulenweg,Private room,Private room in rental unit,1,1.0,1.0,1,56.0,4.96,50,1.0
37105545,52.51771,13.28531,Schloß Charlottenburg,Entire home/apt,Entire rental unit,1,1.0,1.0,92,54.0,5.0,3,1.0
37113779,52.54157,13.41169,Prenzlauer Berg Nordwest,Entire home/apt,Entire guesthouse,2,1.0,1.0,1,76.0,4.42,245,0.03296703296703296
37114073,52.54157,13.41169,Prenzlauer Berg Nordwest,Entire home/apt,Entire guesthouse,2,1.0,1.0,1,76.0,4.48,255,0.05494505494505497
37120573,52.51095,13.4495,Karl-Marx-Allee-Süd,Entire home/apt,Entire rental unit,2,1.0,1.0,1,91.0,4.89,450,0.04395604395604391
37206357,52.50613539239261,13.425938423278824,Alexanderplatz,Entire home/apt,Tiny home,2,1.0,1.5,2,126.0,4.93,45,0.0
37276851,52.42576,13.49873,Rudow,Entire home/apt,Entire rental unit,5,2.0,1.5,5,115.0,4.8,41,0.0
37307369,52.48982,13.45053,Alt  Treptow,Entire home/apt,Entire rental unit,3,1.0,1.0,3,200.0,4.54,13,0.0
37312657,52.490091667920126,13.40793093671157,Tempelhofer Vorstadt,Entire home/apt,Entire rental unit,2,1.0,1.0,7,126.0,4.91,33,1.0
37321997,52.48841,13.36211,Schöneberg-Süd,Private room,Private room in bed and breakfast,2,1.0,2.5,2,70.0,4.85,60,1.0
37328374,52.51778,13.3011,Otto-Suhr-Allee,Entire home/apt,Entire rental unit,2,1.0,1.0,1,91.0,4.62,253,0.07692307692307687
37346562,52.51792,13.30107,Otto-Suhr-Allee,Entire home/apt,Entire rental unit,2,1.0,1.0,1,97.0,4.63,239,0.07692307692307687
